id,smartphone_brand,smartphone_model,product_category,cost
35113,Sony,Moto G Power,Smartphone,34437
35114,LG,Mi 11,Electronics,51587
35115,Google,Galaxy S21,Mobile Device,121134
35116,LG,Xperia 1 II,Electronics,186938
35117,Motorola,ZenFone 8,Electronics,122766
35118,Samsung,iPhone 12,Smartphone,26094
35119,Motorola,OnePlus 9,Smartphone,87871
35120,LG,Pixel 5,Mobile Device,32875
35121,Xiaomi,LG V60 ThinQ,Mobile Device,140292
35122,Nokia,iPhone 12,Smartphone,107500
35123,Sony,iPhone 12,Smartphone,169954
35124,Nokia,Mi 11,Electronics,177814
35125,Motorola,Mi 11,Smartphone,32202
35126,Samsung,LG V60 ThinQ,Smartphone,132266
35127,Xiaomi,Moto G Power,Electronics,149887
35128,Apple,Galaxy S21,Electronics,144551
35129,Nokia,Galaxy S21,Mobile Device,141764
35130,Apple,OnePlus 9,Electronics,59675
35131,Samsung,LG V60 ThinQ,Mobile Device,111211
35132,LG,Pixel 5,Smartphone,183370
35133,Nokia,ZenFone 8,Electronics,132877
35134,Samsung,Nokia 8.3,Smartphone,99551
35135,Sony,Moto G Power,Mobile Device,143746
35136,Samsung,Mi 11,Mobile Device,104326
35137,Huawei,Galaxy S21,Electronics,175084
35138,Xiaomi,Galaxy S21,Smartphone,39003
35139,LG,OnePlus 9,Electronics,118114
35140,Huawei,Pixel 5,Mobile Device,17348
35141,Motorola,LG V60 ThinQ,Electronics,147271
35142,Motorola,LG V60 ThinQ,Smartphone,126666
35143,Huawei,LG V60 ThinQ,Mobile Device,32737
35144,Nokia,Xperia 1 II,Electronics,172915
35145,Huawei,Moto G Power,Mobile Device,172052
35146,Nokia,LG V60 ThinQ,Mobile Device,198717
35147,Apple,Mi 11,Mobile Device,38575
35148,Sony,OnePlus 9,Mobile Device,98588
35149,Nokia,Moto G Power,Mobile Device,18105
35150,Nokia,OnePlus 9,Electronics,82442
35151,LG,Mi 11,Mobile Device,123730
35152,LG,Xperia 1 II,Electronics,173628
35153,Motorola,Mi 11,Electronics,54767
35154,LG,Nokia 8.3,Electronics,146578
35155,Huawei,Moto G Power,Electronics,151597
35156,Google,Galaxy S21,Electronics,187533
35157,Apple,Nokia 8.3,Smartphone,73245
35158,Motorola,LG V60 ThinQ,Mobile Device,188352
35159,Motorola,Mi 11,Mobile Device,130318
35160,OnePlus,Moto G Power,Electronics,153617
35161,Sony,Xperia 1 II,Smartphone,102790
35162,Sony,LG V60 ThinQ,Mobile Device,59046
35163,Motorola,iPhone 12,Mobile Device,27951
35164,Sony,LG V60 ThinQ,Mobile Device,28918
35165,OnePlus,Xperia 1 II,Electronics,164748
35166,Google,Nokia 8.3,Mobile Device,120355
35167,Nokia,Moto G Power,Mobile Device,34863
35168,Nokia,Mi 11,Mobile Device,59640
35169,Google,iPhone 12,Electronics,106062
35170,Google,iPhone 12,Mobile Device,161651
35171,Google,ZenFone 8,Smartphone,150237
35172,Google,Xperia 1 II,Smartphone,184798
35173,Google,Xperia 1 II,Smartphone,52645
35174,Nokia,Xperia 1 II,Mobile Device,131571
35175,Apple,Mi 11,Smartphone,80461
35176,Samsung,Galaxy S21,Mobile Device,14159
35177,LG,LG V60 ThinQ,Smartphone,11557
35178,Huawei,LG V60 ThinQ,Mobile Device,80416
35179,Apple,iPhone 12,Mobile Device,154290
35180,Nokia,Xperia 1 II,Mobile Device,163098
35181,Sony,iPhone 12,Mobile Device,81582
35182,Sony,Pixel 5,Electronics,78307
35183,Huawei,OnePlus 9,Electronics,18999
35184,Huawei,LG V60 ThinQ,Smartphone,136797
35185,Huawei,LG V60 ThinQ,Mobile Device,133487
35186,Google,ZenFone 8,Electronics,20232
35187,Apple,Pixel 5,Smartphone,18961
35188,Huawei,Moto G Power,Smartphone,142968
35189,OnePlus,OnePlus 9,Mobile Device,123197
35190,Samsung,Nokia 8.3,Smartphone,154881
35191,Sony,ZenFone 8,Mobile Device,109658
35192,LG,Galaxy S21,Electronics,168173
35193,Xiaomi,Galaxy S21,Mobile Device,195084
35194,Samsung,Xperia 1 II,Mobile Device,41758
35195,Sony,OnePlus 9,Mobile Device,28831
35196,Nokia,Moto G Power,Mobile Device,107143
35197,OnePlus,Mi 11,Mobile Device,151928
35198,Apple,ZenFone 8,Smartphone,117665
35199,Xiaomi,Xperia 1 II,Smartphone,86936
35200,Samsung,Nokia 8.3,Mobile Device,8753
35201,Nokia,iPhone 12,Smartphone,17525
35202,LG,ZenFone 8,Electronics,63108
35203,Sony,OnePlus 9,Mobile Device,14066
35204,Samsung,Pixel 5,Smartphone,94304
35205,Google,Pixel 5,Electronics,22773
35206,OnePlus,OnePlus 9,Electronics,67682
35207,Huawei,ZenFone 8,Mobile Device,173579
35208,Sony,Pixel 5,Smartphone,8181
35209,Nokia,Pixel 5,Mobile Device,121857
35210,Nokia,Xperia 1 II,Smartphone,34540
35211,LG,OnePlus 9,Mobile Device,29785
35212,Samsung,ZenFone 8,Mobile Device,45848
35213,Motorola,Mi 11,Electronics,107308
35214,Sony,Pixel 5,Mobile Device,158546
35215,Samsung,Moto G Power,Mobile Device,188516
35216,OnePlus,OnePlus 9,Electronics,112167
35217,OnePlus,Mi 11,Mobile Device,155848
35218,Motorola,Xperia 1 II,Mobile Device,34671
35219,Samsung,Moto G Power,Electronics,34307
35220,OnePlus,iPhone 12,Electronics,47172
35221,Motorola,Pixel 5,Mobile Device,163485
35222,Samsung,LG V60 ThinQ,Electronics,168471
35223,Xiaomi,Xperia 1 II,Mobile Device,38979
35224,Samsung,LG V60 ThinQ,Mobile Device,76250
35225,Nokia,Mi 11,Mobile Device,167136
35226,Apple,Mi 11,Smartphone,31242
35227,Google,ZenFone 8,Electronics,116847
35228,Xiaomi,Xperia 1 II,Smartphone,85026
35229,Xiaomi,iPhone 12,Mobile Device,152996
35230,Motorola,Moto G Power,Electronics,156346
35231,Xiaomi,Moto G Power,Electronics,138951
35232,Nokia,iPhone 12,Electronics,21807
35233,LG,Nokia 8.3,Electronics,152035
35234,OnePlus,LG V60 ThinQ,Electronics,154966
35235,LG,iPhone 12,Electronics,161615
35236,Samsung,iPhone 12,Electronics,8678
35237,Nokia,Pixel 5,Smartphone,82393
35238,LG,Nokia 8.3,Electronics,187394
35239,Apple,Mi 11,Electronics,12481
35240,Google,Pixel 5,Electronics,81929
35241,Xiaomi,Nokia 8.3,Smartphone,194633
35242,LG,Galaxy S21,Electronics,86546
35243,Samsung,Nokia 8.3,Electronics,165846
35244,Huawei,OnePlus 9,Electronics,66196
35245,Sony,Xperia 1 II,Smartphone,22134
35246,Xiaomi,LG V60 ThinQ,Electronics,92860
35247,Nokia,Nokia 8.3,Electronics,77153
35248,Nokia,LG V60 ThinQ,Smartphone,88117
35249,Nokia,Pixel 5,Electronics,79204
35250,Google,Xperia 1 II,Mobile Device,111532
35251,Nokia,Galaxy S21,Electronics,97469
35252,Motorola,OnePlus 9,Mobile Device,61965
35253,Nokia,OnePlus 9,Mobile Device,105319
35254,Apple,LG V60 ThinQ,Mobile Device,81748
35255,LG,Xperia 1 II,Smartphone,49259
35256,LG,OnePlus 9,Mobile Device,68138
35257,Google,Xperia 1 II,Smartphone,147164
35258,Google,Xperia 1 II,Electronics,130161
35259,Apple,Moto G Power,Mobile Device,146478
35260,Samsung,OnePlus 9,Mobile Device,108894
35261,Google,iPhone 12,Smartphone,57191
35262,Sony,OnePlus 9,Smartphone,74200
35263,OnePlus,OnePlus 9,Mobile Device,20947
35264,Huawei,Pixel 5,Electronics,10086
35265,LG,Pixel 5,Mobile Device,67933
35266,OnePlus,LG V60 ThinQ,Electronics,104122
35267,Apple,Nokia 8.3,Smartphone,66362
35268,Huawei,OnePlus 9,Electronics,39815
35269,LG,Xperia 1 II,Smartphone,195887
35270,Sony,Pixel 5,Mobile Device,31854
35271,Motorola,Mi 11,Smartphone,152278
35272,Apple,OnePlus 9,Smartphone,118991
35273,Motorola,Galaxy S21,Smartphone,99043
35274,Sony,iPhone 12,Smartphone,66271
35275,Google,Moto G Power,Mobile Device,37900
35276,LG,Moto G Power,Smartphone,192984
35277,OnePlus,OnePlus 9,Electronics,168762
35278,LG,Xperia 1 II,Electronics,139206
35279,Huawei,Xperia 1 II,Mobile Device,52108
35280,Apple,ZenFone 8,Mobile Device,56058
35281,Samsung,LG V60 ThinQ,Electronics,149931
35282,LG,ZenFone 8,Mobile Device,40855
35283,Nokia,LG V60 ThinQ,Mobile Device,65088
35284,Samsung,Moto G Power,Smartphone,51501
35285,Apple,Pixel 5,Mobile Device,44306
35286,OnePlus,Pixel 5,Mobile Device,46221
35287,OnePlus,Galaxy S21,Smartphone,11211
35288,Samsung,Xperia 1 II,Electronics,102142
35289,Samsung,Mi 11,Electronics,181040
35290,Samsung,ZenFone 8,Mobile Device,96126
35291,Google,Pixel 5,Electronics,117058
35292,Xiaomi,Galaxy S21,Electronics,48756
35293,Apple,OnePlus 9,Electronics,142936
35294,Google,Xperia 1 II,Mobile Device,12906
35295,Huawei,Pixel 5,Smartphone,68531
35296,Google,ZenFone 8,Electronics,54809
35297,Xiaomi,OnePlus 9,Smartphone,6809
35298,LG,iPhone 12,Electronics,36082
35299,Xiaomi,Mi 11,Smartphone,54315
35300,LG,Mi 11,Mobile Device,166945
35301,Apple,Pixel 5,Electronics,145021
35302,LG,Xperia 1 II,Mobile Device,150897
35303,Huawei,Mi 11,Mobile Device,99494
35304,Nokia,Nokia 8.3,Smartphone,80351
35305,Huawei,OnePlus 9,Smartphone,109676
35306,Motorola,LG V60 ThinQ,Smartphone,173614
35307,Nokia,Mi 11,Smartphone,140350
35308,Sony,Mi 11,Electronics,88339
35309,OnePlus,ZenFone 8,Mobile Device,118302
35310,OnePlus,Moto G Power,Electronics,167307
35311,Google,Nokia 8.3,Mobile Device,118971
35312,Apple,Mi 11,Electronics,116077
35313,Motorola,Nokia 8.3,Mobile Device,46331
35314,Huawei,OnePlus 9,Mobile Device,28734
35315,OnePlus,Galaxy S21,Electronics,23338
35316,Motorola,Nokia 8.3,Electronics,153835
35317,Motorola,Xperia 1 II,Electronics,41515
35318,Sony,OnePlus 9,Smartphone,84487
35319,Xiaomi,Nokia 8.3,Mobile Device,151484
35320,Samsung,Xperia 1 II,Electronics,46855
35321,Google,iPhone 12,Electronics,13181
35322,Huawei,Moto G Power,Mobile Device,132093
35323,Google,Moto G Power,Smartphone,142688
35324,Motorola,Nokia 8.3,Mobile Device,62429
35325,Apple,LG V60 ThinQ,Mobile Device,52196
35326,Apple,Galaxy S21,Smartphone,109079
35327,Apple,Xperia 1 II,Electronics,123470
35328,Sony,Xperia 1 II,Mobile Device,191648
35329,Huawei,Moto G Power,Electronics,172295
35330,Huawei,ZenFone 8,Electronics,109504
35331,Sony,ZenFone 8,Mobile Device,57810
35332,Sony,Pixel 5,Electronics,136546
35333,Apple,Nokia 8.3,Electronics,37936
35334,Apple,Xperia 1 II,Mobile Device,77091
35335,Samsung,Nokia 8.3,Smartphone,176662
35336,Huawei,LG V60 ThinQ,Mobile Device,149128
35337,LG,Xperia 1 II,Smartphone,47722
35338,Sony,iPhone 12,Smartphone,113296
35339,Sony,Galaxy S21,Electronics,52195
35340,OnePlus,Mi 11,Electronics,115814
35341,Huawei,ZenFone 8,Smartphone,144303
35342,Apple,iPhone 12,Smartphone,88150
35343,Google,Nokia 8.3,Electronics,95035
35344,Sony,Nokia 8.3,Mobile Device,136878
35345,LG,OnePlus 9,Smartphone,48155
35346,Google,iPhone 12,Mobile Device,65303
35347,Motorola,OnePlus 9,Electronics,54906
35348,Google,LG V60 ThinQ,Mobile Device,184314
35349,Sony,Mi 11,Smartphone,26717
35350,Motorola,Mi 11,Mobile Device,7471
35351,Nokia,Mi 11,Smartphone,156506
35352,Huawei,Mi 11,Mobile Device,185793
35353,Nokia,Pixel 5,Smartphone,73487
35354,Xiaomi,ZenFone 8,Mobile Device,193622
35355,Sony,Pixel 5,Smartphone,144711
35356,Huawei,Nokia 8.3,Mobile Device,142234
35357,Sony,ZenFone 8,Mobile Device,90275
35358,Nokia,Moto G Power,Smartphone,99604
35359,Apple,Moto G Power,Smartphone,79247
35360,Huawei,Mi 11,Electronics,34688
35361,Huawei,Mi 11,Mobile Device,112611
35362,Apple,Nokia 8.3,Smartphone,50068
35363,Apple,Nokia 8.3,Mobile Device,129408
35364,Huawei,OnePlus 9,Mobile Device,9941
35365,Motorola,iPhone 12,Mobile Device,77040
35366,Motorola,Pixel 5,Electronics,92867
35367,Sony,iPhone 12,Smartphone,143837
35368,Apple,Mi 11,Electronics,120662
35369,Nokia,OnePlus 9,Smartphone,39753
35370,Huawei,ZenFone 8,Electronics,55610
35371,Google,Galaxy S21,Smartphone,183979
35372,Sony,ZenFone 8,Mobile Device,58159
35373,Nokia,Xperia 1 II,Mobile Device,89184
35374,Samsung,Nokia 8.3,Mobile Device,77138
35375,Sony,OnePlus 9,Mobile Device,156058
35376,OnePlus,Pixel 5,Mobile Device,70325
35377,LG,Mi 11,Electronics,159800
35378,OnePlus,Mi 11,Smartphone,193078
35379,Xiaomi,OnePlus 9,Mobile Device,22221
35380,LG,LG V60 ThinQ,Mobile Device,169206
35381,Nokia,Pixel 5,Smartphone,60400
35382,Xiaomi,ZenFone 8,Mobile Device,76193
35383,Apple,Mi 11,Smartphone,160952
35384,LG,iPhone 12,Electronics,95655
35385,Huawei,iPhone 12,Mobile Device,37661
35386,Nokia,OnePlus 9,Electronics,73202
35387,Xiaomi,Galaxy S21,Smartphone,149595
35388,Apple,OnePlus 9,Mobile Device,155701
35389,OnePlus,OnePlus 9,Electronics,41091
35390,OnePlus,Pixel 5,Mobile Device,49265
35391,Motorola,Galaxy S21,Electronics,13700
35392,Xiaomi,Galaxy S21,Smartphone,102800
35393,Xiaomi,Pixel 5,Electronics,165775
35394,Samsung,ZenFone 8,Smartphone,86875
35395,Sony,Mi 11,Mobile Device,51918
35396,Nokia,Xperia 1 II,Mobile Device,71755
35397,Samsung,Xperia 1 II,Smartphone,140455
35398,Huawei,iPhone 12,Smartphone,42503
35399,Xiaomi,LG V60 ThinQ,Smartphone,39815
35400,LG,Mi 11,Mobile Device,149153
35401,Samsung,Galaxy S21,Mobile Device,48995
35402,Google,Pixel 5,Smartphone,118451
35403,Motorola,Xperia 1 II,Mobile Device,114554
35404,Nokia,iPhone 12,Smartphone,166363
35405,Motorola,Xperia 1 II,Electronics,169080
35406,Google,iPhone 12,Smartphone,61519
35407,Huawei,Xperia 1 II,Electronics,169170
35408,Sony,ZenFone 8,Electronics,139095
35409,Apple,iPhone 12,Electronics,124176
35410,Motorola,Pixel 5,Electronics,76770
35411,Samsung,ZenFone 8,Mobile Device,168669
35412,OnePlus,Mi 11,Electronics,79589
35413,Samsung,Nokia 8.3,Mobile Device,27470
35414,OnePlus,Galaxy S21,Smartphone,179182
35415,LG,Moto G Power,Smartphone,7710
35416,LG,LG V60 ThinQ,Smartphone,162842
35417,Motorola,Nokia 8.3,Smartphone,8199
35418,LG,Moto G Power,Smartphone,48314
35419,Google,Galaxy S21,Smartphone,198827
35420,Nokia,Pixel 5,Electronics,25539
35421,Xiaomi,LG V60 ThinQ,Smartphone,45038
35422,Xiaomi,ZenFone 8,Mobile Device,112329
35423,Huawei,iPhone 12,Electronics,141828
35424,Google,iPhone 12,Electronics,35208
35425,Motorola,Galaxy S21,Mobile Device,30093
35426,Google,iPhone 12,Smartphone,177371
35427,Google,iPhone 12,Mobile Device,188733
35428,Xiaomi,ZenFone 8,Electronics,10396
35429,LG,Moto G Power,Smartphone,194468
35430,Nokia,Xperia 1 II,Smartphone,123546
35431,Motorola,Nokia 8.3,Electronics,155907
35432,LG,Moto G Power,Smartphone,165550
35433,Nokia,Galaxy S21,Electronics,144329
35434,Google,OnePlus 9,Smartphone,60198
35435,Samsung,Pixel 5,Smartphone,193527
35436,Motorola,LG V60 ThinQ,Electronics,57368
35437,Xiaomi,LG V60 ThinQ,Mobile Device,134670
35438,Xiaomi,ZenFone 8,Smartphone,137230
35439,Google,ZenFone 8,Smartphone,117693
35440,Samsung,Galaxy S21,Electronics,95652
35441,Nokia,OnePlus 9,Smartphone,7851
35442,Motorola,OnePlus 9,Electronics,182105
35443,Huawei,iPhone 12,Mobile Device,79184
35444,Samsung,OnePlus 9,Smartphone,107819
35445,Nokia,OnePlus 9,Smartphone,13622
35446,Samsung,ZenFone 8,Mobile Device,181091
35447,Samsung,Moto G Power,Smartphone,21513
35448,Motorola,iPhone 12,Mobile Device,15018
35449,Samsung,Mi 11,Mobile Device,48162
35450,Sony,Galaxy S21,Mobile Device,45069
35451,Nokia,Galaxy S21,Smartphone,155130
35452,LG,Mi 11,Mobile Device,87958
35453,Motorola,Mi 11,Smartphone,35843
35454,Xiaomi,iPhone 12,Electronics,56881
35455,Sony,Nokia 8.3,Smartphone,183297
35456,Xiaomi,Xperia 1 II,Mobile Device,100552
35457,LG,Xperia 1 II,Smartphone,72835
35458,Sony,LG V60 ThinQ,Electronics,131873
35459,OnePlus,LG V60 ThinQ,Electronics,31225
35460,Motorola,Xperia 1 II,Smartphone,11577
35461,Nokia,Nokia 8.3,Mobile Device,109401
35462,Motorola,Galaxy S21,Mobile Device,144757
35463,Apple,Pixel 5,Mobile Device,138673
35464,Huawei,Nokia 8.3,Mobile Device,63202
35465,Sony,Mi 11,Mobile Device,54786
35466,Motorola,Moto G Power,Smartphone,21852
35467,Nokia,Galaxy S21,Electronics,178915
35468,Google,Nokia 8.3,Smartphone,190811
35469,Nokia,LG V60 ThinQ,Mobile Device,45851
35470,Google,OnePlus 9,Mobile Device,154995
35471,Sony,iPhone 12,Electronics,170937
35472,Nokia,Mi 11,Mobile Device,61183
35473,Xiaomi,ZenFone 8,Mobile Device,25499
35474,Sony,Xperia 1 II,Mobile Device,145205
35475,Nokia,OnePlus 9,Electronics,25098
35476,Huawei,iPhone 12,Electronics,171700
35477,Nokia,LG V60 ThinQ,Electronics,10378
35478,Xiaomi,Moto G Power,Mobile Device,153080
35479,OnePlus,iPhone 12,Electronics,54092
35480,Xiaomi,Nokia 8.3,Electronics,190504
35481,Samsung,OnePlus 9,Smartphone,179017
35482,Motorola,Nokia 8.3,Mobile Device,121799
35483,Google,Galaxy S21,Electronics,120588
35484,OnePlus,Mi 11,Mobile Device,107672
35485,Xiaomi,Galaxy S21,Electronics,197885
35486,Google,Mi 11,Smartphone,8102
35487,Motorola,Xperia 1 II,Mobile Device,127195
35488,Xiaomi,OnePlus 9,Mobile Device,25292
35489,Motorola,Galaxy S21,Smartphone,21478
35490,Motorola,ZenFone 8,Electronics,159818
35491,Huawei,Xperia 1 II,Electronics,56709
35492,Xiaomi,Xperia 1 II,Mobile Device,145050
35493,Sony,OnePlus 9,Mobile Device,82654
35494,Nokia,iPhone 12,Smartphone,44007
35495,Sony,Mi 11,Mobile Device,91656
35496,LG,iPhone 12,Mobile Device,86247
35497,LG,Nokia 8.3,Mobile Device,145937
35498,LG,ZenFone 8,Mobile Device,185075
35499,Samsung,iPhone 12,Smartphone,191784
35500,Motorola,Moto G Power,Electronics,187433
35501,Apple,Moto G Power,Mobile Device,78470
35502,Sony,Xperia 1 II,Mobile Device,55168
35503,Motorola,Xperia 1 II,Electronics,80593
35504,Huawei,Galaxy S21,Mobile Device,45613
35505,Sony,OnePlus 9,Smartphone,71691
35506,Motorola,Xperia 1 II,Mobile Device,93729
35507,OnePlus,ZenFone 8,Mobile Device,147394
35508,Sony,Mi 11,Electronics,80034
35509,OnePlus,iPhone 12,Smartphone,45363
35510,Motorola,iPhone 12,Smartphone,102283
35511,OnePlus,Nokia 8.3,Electronics,76484
35512,Apple,iPhone 12,Mobile Device,127456
35513,Sony,iPhone 12,Mobile Device,176906
35514,Apple,Mi 11,Electronics,29532
35515,OnePlus,Xperia 1 II,Electronics,187756
35516,Motorola,Nokia 8.3,Electronics,122958
35517,Apple,LG V60 ThinQ,Mobile Device,12785
35518,Xiaomi,iPhone 12,Smartphone,134784
35519,LG,Xperia 1 II,Electronics,83977
35520,Google,Xperia 1 II,Smartphone,192017
35521,Samsung,Mi 11,Smartphone,99011
35522,Apple,Pixel 5,Electronics,123124
35523,Apple,LG V60 ThinQ,Electronics,142867
35524,Huawei,LG V60 ThinQ,Electronics,59748
35525,Samsung,iPhone 12,Smartphone,195148
35526,Motorola,OnePlus 9,Smartphone,63791
35527,Google,LG V60 ThinQ,Smartphone,134323
35528,Sony,Pixel 5,Smartphone,45379
35529,Motorola,Mi 11,Smartphone,145262
35530,LG,Moto G Power,Mobile Device,157066
35531,Nokia,ZenFone 8,Smartphone,87648
35532,Motorola,Mi 11,Mobile Device,133743
35533,Xiaomi,Galaxy S21,Electronics,129191
35534,Nokia,Nokia 8.3,Smartphone,167467
35535,OnePlus,Nokia 8.3,Mobile Device,81451
35536,Huawei,Mi 11,Smartphone,101084
35537,Motorola,Pixel 5,Mobile Device,71104
35538,Xiaomi,Galaxy S21,Mobile Device,63588
35539,Xiaomi,Pixel 5,Smartphone,102069
35540,Apple,Mi 11,Mobile Device,56784
35541,LG,Xperia 1 II,Electronics,82936
35542,Nokia,Moto G Power,Mobile Device,46023
35543,Xiaomi,Moto G Power,Electronics,20148
35544,Samsung,Galaxy S21,Mobile Device,173447
35545,Sony,Nokia 8.3,Smartphone,12610
35546,Motorola,Xperia 1 II,Electronics,94056
35547,Huawei,OnePlus 9,Smartphone,39831
35548,LG,Xperia 1 II,Smartphone,182987
35549,Motorola,iPhone 12,Electronics,149054
35550,Google,OnePlus 9,Mobile Device,76763
35551,Nokia,Galaxy S21,Smartphone,41551
35552,Huawei,Nokia 8.3,Smartphone,111932
35553,Motorola,Nokia 8.3,Mobile Device,116539
35554,Xiaomi,Mi 11,Smartphone,46692
35555,Motorola,Moto G Power,Mobile Device,18584
35556,Huawei,Galaxy S21,Smartphone,194599
35557,Xiaomi,Xperia 1 II,Electronics,112500
35558,Xiaomi,iPhone 12,Electronics,139103
35559,Huawei,Nokia 8.3,Mobile Device,197134
35560,OnePlus,Xperia 1 II,Smartphone,101903
35561,Apple,Xperia 1 II,Mobile Device,50205
35562,Nokia,Xperia 1 II,Smartphone,30827
35563,Sony,LG V60 ThinQ,Electronics,54220
35564,LG,Moto G Power,Mobile Device,183207
35565,Motorola,Galaxy S21,Mobile Device,172139
35566,LG,ZenFone 8,Smartphone,18662
35567,OnePlus,ZenFone 8,Electronics,11548
35568,Nokia,Galaxy S21,Smartphone,10282
35569,Sony,ZenFone 8,Smartphone,174062
35570,Motorola,Mi 11,Electronics,192103
35571,Google,ZenFone 8,Smartphone,24536
35572,Google,Moto G Power,Smartphone,196458
35573,Sony,Pixel 5,Electronics,28387
35574,Xiaomi,Galaxy S21,Smartphone,138167
35575,OnePlus,LG V60 ThinQ,Electronics,54220
35576,Google,iPhone 12,Electronics,59572
35577,LG,Nokia 8.3,Electronics,179434
35578,Sony,LG V60 ThinQ,Smartphone,109422
35579,Huawei,ZenFone 8,Smartphone,192743
35580,OnePlus,OnePlus 9,Smartphone,128840
35581,Nokia,ZenFone 8,Mobile Device,163113
35582,Google,Galaxy S21,Smartphone,181214
35583,LG,iPhone 12,Mobile Device,37452
35584,OnePlus,OnePlus 9,Electronics,113372
35585,Xiaomi,Mi 11,Electronics,15587
35586,Nokia,OnePlus 9,Smartphone,102771
35587,Nokia,Pixel 5,Mobile Device,172440
35588,Apple,Mi 11,Smartphone,100820
35589,Google,Nokia 8.3,Smartphone,9831
35590,Sony,Mi 11,Smartphone,60481
35591,Nokia,Moto G Power,Electronics,112459
35592,Apple,ZenFone 8,Electronics,56934
35593,Xiaomi,ZenFone 8,Electronics,128637
35594,Nokia,LG V60 ThinQ,Mobile Device,177233
35595,Apple,LG V60 ThinQ,Mobile Device,108766
35596,Samsung,ZenFone 8,Smartphone,192794
35597,Apple,LG V60 ThinQ,Mobile Device,34929
35598,Sony,Moto G Power,Mobile Device,197494
35599,Google,Mi 11,Mobile Device,84028
35600,Xiaomi,Moto G Power,Smartphone,77983
35601,Samsung,OnePlus 9,Mobile Device,103115
35602,Sony,Mi 11,Electronics,126586
35603,Xiaomi,Pixel 5,Smartphone,125158
35604,Nokia,Mi 11,Smartphone,130176
35605,Xiaomi,LG V60 ThinQ,Electronics,95549
35606,Apple,Xperia 1 II,Mobile Device,14800
35607,LG,Pixel 5,Smartphone,132059
35608,Google,Galaxy S21,Smartphone,99701
35609,Huawei,Xperia 1 II,Smartphone,16697
35610,Google,Galaxy S21,Smartphone,98783
35611,Xiaomi,LG V60 ThinQ,Smartphone,137702
35612,Nokia,Xperia 1 II,Mobile Device,16303
35613,Huawei,Moto G Power,Smartphone,143911
35614,Google,Nokia 8.3,Electronics,100831
35615,Motorola,Pixel 5,Electronics,78770
35616,Nokia,iPhone 12,Electronics,7599
35617,Motorola,Xperia 1 II,Mobile Device,32401
35618,Samsung,Mi 11,Smartphone,186472
35619,Xiaomi,LG V60 ThinQ,Electronics,196684
35620,Google,ZenFone 8,Electronics,21862
35621,Nokia,Moto G Power,Electronics,82058
35622,Nokia,Nokia 8.3,Smartphone,180540
35623,Xiaomi,ZenFone 8,Electronics,29988
35624,Huawei,Pixel 5,Mobile Device,33570
35625,Nokia,iPhone 12,Mobile Device,88498
35626,Huawei,Xperia 1 II,Electronics,129679
35627,Samsung,OnePlus 9,Smartphone,86537
35628,Apple,Nokia 8.3,Electronics,136792
35629,Google,Pixel 5,Mobile Device,160938
35630,Nokia,Mi 11,Electronics,81036
35631,Google,LG V60 ThinQ,Smartphone,38786
35632,Google,ZenFone 8,Smartphone,101291
35633,LG,ZenFone 8,Smartphone,139215
35634,OnePlus,ZenFone 8,Smartphone,36054
35635,OnePlus,Moto G Power,Smartphone,107877
35636,Samsung,ZenFone 8,Electronics,151271
35637,Xiaomi,Mi 11,Electronics,178317
35638,Google,Nokia 8.3,Smartphone,133335
35639,Xiaomi,Moto G Power,Smartphone,182192
35640,Nokia,Xperia 1 II,Smartphone,143627
35641,Nokia,iPhone 12,Electronics,16041
35642,Nokia,OnePlus 9,Mobile Device,17314
35643,Huawei,OnePlus 9,Mobile Device,181732
35644,Sony,ZenFone 8,Electronics,35468
35645,LG,ZenFone 8,Mobile Device,47235
35646,LG,iPhone 12,Mobile Device,158700
35647,Sony,iPhone 12,Mobile Device,30657
35648,Apple,iPhone 12,Electronics,166664
35649,Nokia,ZenFone 8,Smartphone,198627
35650,Huawei,ZenFone 8,Electronics,187785
35651,Xiaomi,LG V60 ThinQ,Electronics,120935
35652,Motorola,Moto G Power,Electronics,104301
35653,Apple,OnePlus 9,Mobile Device,168107
35654,Nokia,Moto G Power,Mobile Device,27090
35655,Xiaomi,Galaxy S21,Smartphone,95269
35656,Motorola,OnePlus 9,Smartphone,165461
35657,Nokia,Galaxy S21,Smartphone,70792
35658,Apple,Nokia 8.3,Mobile Device,82448
35659,OnePlus,LG V60 ThinQ,Electronics,164759
35660,Apple,LG V60 ThinQ,Mobile Device,106095
35661,Huawei,Pixel 5,Smartphone,112438
35662,Xiaomi,Moto G Power,Electronics,35149
35663,Sony,Xperia 1 II,Smartphone,125673
35664,Nokia,LG V60 ThinQ,Smartphone,84298
35665,Samsung,iPhone 12,Smartphone,191579
35666,Motorola,Mi 11,Smartphone,180167
35667,Motorola,Galaxy S21,Smartphone,98373
35668,Motorola,Moto G Power,Smartphone,58324
35669,Motorola,Xperia 1 II,Smartphone,178876
35670,Samsung,Moto G Power,Mobile Device,179992
35671,Sony,Moto G Power,Smartphone,54610
35672,Motorola,OnePlus 9,Mobile Device,54764
35673,Huawei,iPhone 12,Electronics,150374
35674,Samsung,OnePlus 9,Smartphone,63511
35675,Samsung,Moto G Power,Mobile Device,98822
35676,Xiaomi,Xperia 1 II,Electronics,110252
35677,OnePlus,Mi 11,Mobile Device,78660
